ID	Name
1	all (pl.)
2	ant
3	ash
4	back (anatomical)
5	bad
6	bark (n.)
7	belly
8	big
9	bird
10	bite
11	bitter
12	black
13	blood
14	blow (v, of person)
15	bone
16	breathe
17	burn (intr)
18	burn (tr)
19	carry
20	chest
21	child
22	claw
23	cloud
24	cold
25	come
26	count
27	cut
28	day (daytime)
29	die
30	dig
31	dirty
32	do
33	dog
34	drink
35	dry
36	dust
37	ear
38	earth
39	eat (tr)
40	egg
41	eye
42	fall
43	far
44	fat
45	father
46	fear
47	feather
48	fight (vb)
49	fingernail
50	fire
51	fish
52	five
53	flower
54	fly (v)
55	fly
56	fog
57	foot
58	forest
59	four
60	freeze
61	fruit
62	full
63	give
64	go
65	good
66	grass
67	green
68	grind (flour)
69	hair (mass)
70	hand
71	hard
72	head
73	hear
74	heart
75	heavy
76	here
77	hide (tr)
78	hit (once)
79	horn
80	hot
81	house
82	how
83	hunt
84	I (OBL)
85	I
86	ice
87	intestines, guts
88	kill
89	knee
90	know
91	lake
92	laugh
93	leaf
94	left
95	leg
96	lie
97	live, exist
98	liver
99	long
100	louse
101	man
102	many
103	meat
104	moon
105	mother
106	mountain
107	mouth (external)
108	name
109	narrow
110	navel
111	near
112	neck
113	new
114	night
115	nose
116	not (indicative)
117	one
118	person
119	play (tr)
120	pull
121	push
122	rain
123	red
124	right
125	river
126	road
127	root
128	rotten
129	round
130	run
131	salt
132	sand
133	say
134	scratch
135	sea
136	see
137	seed granule
138	sew
139	shadow
140	sharp
141	short
142	sing
143	sit
144	skin
145	sky
146	sleep
147	small
148	smell (tr)
149	smoke
150	smooth
151	snake
152	snow
153	spit
154	stand
155	star
156	stick
157	stone
158	straight
159	sun
160	sweet
161	swell
162	swim
163	tail
164	take
165	that (medial)
166	there (medial)
167	they
168	thick
169	thigh
170	thin
171	think
172	this
173	thou (obl)
174	thou
175	three
176	throw (v)
177	tie (objects)
178	tongue
179	tooth
180	tree
181	true
182	turn (tr.)
183	two
184	vomit
185	walk
186	warm
187	wash
188	water
189	we (exclusive)
190	we (inclusive)
191	weep
192	wet
193	what
194	when
195	where
196	white
197	who
198	wide
199	wind
200	wing
201	with
202	woman
203	worm
204	year
205	yellow
206	yesterday
207	you (plural)
