NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	all (pl.)	98	ALL
2	ant	587	ANT
3	ash	646	ASH
4	back (anatomical)	1291	BACK
5	bad	1292	BAD
6	bark (n.)	1204	BARK
7	belly	1251	BELLY
8	big	1202	BIG
9	bird	937	BIRD
10	bite	1403	BITE
11	bitter	887	BITTER
12	black	163	BLACK
13	blood	946	BLOOD
14	blow (v, of person)	175	BLOW (OF WIND)
15	bone	1394	BONE
16	breathe	1407	BREATHE
17	burn (intr)	1428	BURNING
18	burn (tr)	141	BURN (SOMETHING)
19	carry	700	CARRY
20	chest	1592	CHEST
21	child	2099	CHILD
22	claw	72	CLAW
23	cloud	1489	CLOUD
24	cold	1287	COLD
25	come	1446	COME
26	count	1420	COUNT
27	cut	1432	CUT
28	day (daytime)	1225	DAY (NOT NIGHT)
29	die	1494	DIE
30	dig	1418	DIG
31	dirty	1230	DIRTY
32	do	813	DO
33	dog	2009	DOG
34	drink	1401	DRINK
35	dry	1398	DRY
36	dust	2	DUST
37	ear	1247	EAR
38	earth	1228	EARTH (SOIL)
39	eat (tr)	1336	EAT
40	egg	744	EGG
41	eye	1248	EYE
42	fall	1280	FALL
43	far	1406	FAR
44	fat	323	FAT (ORGANIC SUBSTANCE)
45	father	1217	FATHER
46	fear	1419	FEAR (BE AFRAID)
47	feather	1201	FEATHER
48	fight (vb)	1423	FIGHT
49	fingernail	1258	FINGERNAIL
50	fire	221	FIRE
51	fish	227	FISH
52	five	493	FIVE
53	flower	239	FLOWER
54	fly (v)	1441	FLY (MOVE THROUGH AIR)
55	fly	1441	FLY (MOVE THROUGH AIR)
56	fog	249	FOG
57	foot	1301	FOOT
58	forest	420	FOREST
59	four	1500	FOUR
60	freeze	1431	FREEZE
61	fruit	1507	FRUIT
62	full	1429	FULL
63	give	1447	GIVE
64	go	695	GO
65	good	1035	GOOD
66	grass	606	GRASS
67	green	1425	GREEN
68	grind (flour)	1033	GRIND
69	hair (mass)	1040	HAIR
70	hand	1277	HAND
71	hard	1884	HARD
72	head	1256	HEAD
73	hear	1408	HEAR
74	heart	1223	HEART
75	heavy	1210	HEAVY
76	here	136	HERE
77	hide (tr)	602	HIDE (CONCEAL)
78	hit (once)	1433	HIT
79	horn	1393	HORN (ANATOMY)
80	hot	1286	HOT
81	house	1252	HOUSE
82	how	1239	HOW
83	hunt	1435	HUNT
84	I (OBL)	2301	ME
85	I	1209	I
86	ice	617	ICE
87	intestines, guts	1991	INTESTINES
88	kill	1417	KILL
89	knee	1371	KNEE
90	know	3626	KNOW
91	lake	624	LAKE
92	laugh	1355	LAUGH
93	leaf	628	LEAF
94	left	244	LEFT
95	leg	1297	LEG
96	lie	1411	LIE (REST)
